id,title,authors,published,triage_status,summary
2607.22422v1,PRIMS: Physics-guided Representation for Fluid Identification in Multimodal Sensing,"Hai-Long Nguyen, Trung Thanh Nguyen, Lars Holm, Dennis Alveringh, Duc Viet Le",2026-07-24T15:46:28Z,drop,"Accurate on-device fluid identification is essential for microfluidic applications, yet maintaining reliability under varying flow, pressure, and temperature remains a key challenge. Existing learning-based methods often treat sensor signals as domain-agnostic features, neglecting the underlying physical relationships that govern fluid behavior, thereby limiting generalization and interpretability. To address this, we propose PRIMS, a physics-aware multimodal Transformer that integrates physical knowledge into representation learning and attention mechanisms through three dedicated modules: (1) Physics-based Token Vectorization transforms raw Coriolis and pressure sensor signals into physically meaningful token embeddings; (2) Physical Component Synthesizer models viscosity-related dependencies among flow, pressure, and density; and (3) Physics-guided Fusion captures cross-physical correlations through attention-based integration. By embedding these physics-based relationships directly into the model architecture, PRIMS bridges analytical fluid mechanics and deep learning, enabling interpretable, data-efficient, and resilient fluid classification. Evaluations on a five-fluid benchmark under dynamic flow, pressure, and temperature conditions show that PRIMS achieves 98.92% average F1-score with only 0.46 million parameters, a 14 times reduction compared to state-of-the-art Transformer-based methods. PRIMS also consistently outperforms prior SOTA models under out-of-distribution shifts to unseen temperature ranges and unseen flow-rate ranges, indicating strong robustness to operating conditions not observed during training. These findings suggest that designing architectures that explicitly mirror governing physical relationships can make them learn transferable, environment-independent representations, improving real-world reliability for microfluidic sensing."
2607.22418v1,Winds Versus Jets in Active Galactic Nuclei,"David Garofalo, Chandra B. Singh, Atticus Magerko, Marco Botello, Sophia Soto, Max North",2026-07-24T15:35:39Z,drop,"The well-established anti-correlation between disk winds and relativistic jets in X-ray binaries is often interpreted in a scale-invariant black hole accretion context. If so, active galactic nuclei (AGN) should exhibit a direct mass-scaled analog. We test this prediction across FRII radio quasars, radio-quiet quasars, and jetted and non-jetted Narrow Line Seyfert 1 galaxies (NLS1) in spirals, among others. They exclude simple scale invariance. The highest-velocity winds occur exclusively in radio-quiet quasars, while powerful FRII quasars host systematically weaker winds despite equally large black hole masses. Jetted NLS1s show strong wind suppression consistent with X-ray binary behavior, whereas FRII quasars occupy a distinct regime in which jets and winds coexist. Black hole mass and spin magnitude alone cannot account for this dichotomy. We argue that the angular momentum direction of the disk relative to that of the black hole (aligned versus anti-aligned or co-rotation versus counter-rotation) is the critical parameter: secularly fueled spiral systems and most post-merger systems favor co-rotation, which is associated with compact ISCO radii, high radiative efficiency, strong winds, and jet suppression, while the counter-rotating subset of merger-influenced ellipticals can sustain powerful jets alongside moderate winds. Moreover, while spiral AGN and merger-driven radio-quiet quasars experience similar strong jet/wind anti-correlation, they cannot be treated as strict scaled analogs of X-ray binaries, which undergo rapid state transitions involving magnetic flux redistribution absent in AGN. At least two distinct wind-jet regimes therefore operate across the mass scale. We identify the details of this behavior across AGN subclasses."
2607.22392v1,The Prompt Is Not the Query: How Request State Evolves Across Multi-Turn AI Conversations,Benjamin Tannenbaum,2026-07-24T15:16:26Z,drop,"AI-search evaluation commonly treats a prompt as a stable query that can be counted, classified, and replayed in isolation. A conversation makes that unit of analysis questionable: each user turn can add a constraint, revise an assumption, request evidence, or refer to alternatives established earlier. We replace latent ""intent"" with an observable construct, conversation-conditioned request state, and measure how that state is distributed across user turns. The analysis reuses frozen rules and the governed cohort of a preceding conversation study: 670 English commercial multi-turn conversations in a discovery-replication design and 7,463 public PRISM conversations from 1,389 participants. In the commercial corpus, the final prompt contains a median 35.6% of the session's unique user-side content vocabulary; in PRISM, the median is 36.4%. The final prompt contains at most half of that vocabulary in 68.4% and 74.3% of conversations, respectively. More importantly, transparent rules detect at least one request-state dimension in history but not in the final prompt in 50.3% of commercial conversations and 44.8% of PRISM conversations. Among dimension-bearing conversations, the final prompt reproduces the full observed dimension set in only 26.1% and 26.2%. At the same time, the final prompt adds a previously unseen dimension in 17.9% and 19.3%, showing that the endpoint is neither a summary nor merely a reference: it is often another state update. Length-matched nulls show that low lexical coverage is largely a consequence of turn length, so vocabulary results are interpreted as information availability, not semantic drift. The categorical results support session-level measurement for AI search. They do not estimate the causal effect of history on model answers."
2607.22390v1,"Simultaneous extraction of top quark mass, strong coupling, effective mixing angle, and proton PDFs using inclusive DIS and proton-proton collision data","Mikel Mendizabal Morentin, Katerina Lipka, Giovanni Limatola, Efstathios Agrafiotis, Oleksandr Zenaiev, XiaoMin Shen, Sven Olaf Moch",2026-07-24T15:15:11Z,skim,"We present the first simultaneous determination of the proton parton distribution functions (PDFs) together with the strong coupling, the top quark pole mass, and the effective weak mixing angle. The analysis is performed at next-to-next-to-leading order in QCD using the xFitter framework, based on inclusive deep-inelastic scattering measurements at HERA and precise measurements of jet, electroweak boson, and top quark-antiquark pair production in proton-proton collisions at the LHC. Non-relativistic QCD effects in top quark-antiquark pair production are considered at next-to-leading order, and combined with next-to-leading logarithmic soft-gluon resummation. Simultaneously with PDFs and Standard Model (SM) parameters, relevant top quark SM effective-field-theory (SMEFT) operators are constrained. The precision of the obtained SM parameters is competitive with the state-of-the art individual extractions and accounts for the correlations among those parameters and PDFs. This work paves the way for future global interpretation of the LHC data in terms of QCD, SM and SMEFT."
2607.22367v1,Interior interpretability with attention rollout: contraction and propagation profiles in Transformers,"Umberto Biccari, Qian Huang, Enrique Zuazua",2026-07-24T14:51:28Z,skim,"Feature-attribution methods assign scores relating input variables to a model's output, but do not by themselves characterize how explicitly defined interaction operators compose across its intermediate layers. We introduce \emph{interior interpretability}, a propagation-based perspective on internal model organization, and instantiate it for tabular Transformers using attention rollout. We interpret rollout as a row-stochastic operator encoding attention-mediated propagation between feature tokens. By applying classical Doeblin--Dobrushin contraction theory, we show that a rollout operator with a small Dobrushin coefficient is quantitatively close to a rank-one stochastic matrix whose common row is determined by its normalized column sums. This result gives a structural interpretation to the corresponding rollout propagation profile. In Transformers trained for metabolomic age prediction, the measured rollout contraction strengthens with depth. Trained and randomly initialized models also exhibit different propagation profiles, although the present experiments do not establish the predictive relevance of individual rollout-ranked variables. Exploratory comparisons with PCA and GradientExplainer approximations to SHAP reveal localized agreement among highly ranked variables but weak agreement across complete rankings. Attention rollout is therefore used here as a diagnostic of attention-mediated propagation, not as a causal explanation or faithful attribution of the complete Transformer."
2607.22354v1,"Conformal symmetry, SM and Gravity",Loriano Bonora,2026-07-24T14:35:12Z,drop,"This paper is a bottom up attempt to incorporate the standard model and general relativity in a unique quantum field theory. The tentative model presented here in particular is free of chiral gauge and gravitational anomalies that appear in the divergence of currents, and in the divergence and trace of the energy-momentum tensor when the SM matter couples to gravity. The fermion spectrum is composed of two multiplets, the SM (left) multiplet and a mirror copy (right) with opposite handedness. The right multiplet is interpreted as describing the dark matter world. The natural symmetry of the theory is enlarged to incorporate also Weyl invariance, by introducing one or more dilaton fields. After the cosmological and theoretical motivations, the necessary formalism is introduced for algebraic renormalization: gauge fixings, ghosts, propagators and vertices and their interplay in garanteeing the conditions for convergence of the subtracted amplitudes according to the BPHZL scheme, the Slavnov-Taylor identity and the relevant enlarged BRST symmetry. The corresponding (conformal) cohomology is analyzed and found to be trivial: there are no non-trivial even trace anomalies in theories with dilatons, but there are plenty of trivial ones, which require corresponding counterterms in the effective action. It is shown that such counterterms can play an important role in freeing the theory of unphysical particles."
2607.22336v1,"Detection of pulsations and a non-stable wind in IRAS 01005+7910, an object with the B[e]-phenomenon","Anatoly S. Miroshnichenko, Valentina G. Klochkova, Vladimir E. Panchuk, Ekaterina S. Islentieva",2026-07-24T14:13:09Z,drop,"Comparison of the spectra obtained at different observing dates shows significant variations in the complex H$α$ and H$β$ line profiles, such as a systematic increase in their emission peak strengths in 2025$÷$2026 compared to those observed in 2013 as well as a strong variability in their wind component. A detected variable radial velocity $V_{\odot}$ from $-20$ to $-68$ km/s with a standard deviation of the mean value of K$\sim$8.0 km/s can be interpreted as a result of pulsations or the presence of a companion. The stationary positions of forbidden lines with a mean radial velocity of $V_{\odot}=-51.38\pm0.26$ km/s are taken as an improved systemic velocity. Overall, a set of properties of IRAS 01005+7910 points to its status as a post-AGB star, which has undergone the hot-bottom burning phase."
2607.22331v1,SMEFT-Pheno-Agent: a natural-language-driven AI agent for machine-learning-assisted Standard Model Effective Field Theory phenomenology,"Yu-Chen Guo, Jie Wang, Ji-Chong Yang",2026-07-24T14:08:52Z,skim,"We present SMEFT-Pheno-Agent, a Python workflow guided by a natural-language AI agent to perform machine-learning-assisted Standard Model Effective Field Theory (SMEFT) phenomenology at high-energy colliders. The software coordinates twelve automated execution phases spanning configuration intake, environment validation, event generation, machine-learning selection, statistical inference, and final audit. At each phase boundary, the agent interprets natural-language intent to generate runnable parameter files and adapter invocations required for subsequent execution. Once the detector-level events are written, the agent automatically proposes key kinematic observables alongside candidate machine-learning algorithms suited to the specific data structure and analysis objectives. All numerical calculations are delegated strictly to validated domain tools, with MadGraph5_aMC@NLO, Pythia, Delphes generating collider simulations, and MLAnalysis extracting features. The agent cannot modify physical parameters outside the locked configuration, and all LLM-produced artifacts, including parameter files, observable choices, algorithm selections, and prose drafts, are documented in machine-readable phase manifests prior to execution. These manifests establish complete reproducibility and audit traceability for SMEFT phenomenology studies."
2607.22329v1,The Homogeneous Landau Equation with Regularised Thermal Noise,"Manh Hong Duong, Zihui He, Zhengyan Wu",2026-07-24T14:07:55Z,drop,"We introduce and analyze a fluctuating homogeneous Landau equation with regularised thermal noise. The model is motivated by the nonlocal gradient flow structure of the deterministic Landau equation, the fluctuation--dissipation principle, and the covariance of the martingale fluctuations of a Kac-like conservative Landau particle system. The noise is written in Landau-divergence form, is antisymmetric in the pair of velocities, and is interpreted in the Stratonovich sense after introducing a velocity correlation. To handle the vacuum singularity of the square-root mobility and the nonlocal Stratonovich-to-Itô correction, we replace the mobility by a regular coefficient.   For moderately soft potentials, we prove the existence of probabilistic weak solutions to the regularised fluctuating homogeneous Landau equation. The proof is based on a three-level approximation scheme combining Galerkin approximations, coefficient regularisations, artificial diffusion, and compactness in both $L^2$ and $L^1$ frameworks. The solutions satisfy mass conservation, an energy inequality, and the entropy dissipation estimate. Finally, for a special class of admissible noise bases satisfying a tangential divergence-free condition, we obtain a refined entropy inequality in which the expected entropy is non-increasing relative to the initial entropy."
2607.22322v1,The macroscopic precession model of quasi-periodic oscillations for rotating compact objects,"Orlando Luongo, Marco Muccino",2026-07-24T14:02:50Z,drop,"The relativistic precession model (RPM) interprets the twin kilohertz quasi-periodic oscillations (QPOs) as geodesic frequencies of test particles orbiting in the spacetime of X-ray binaries hosting either a neutron star (NS) or a black hole. In several NS X-ray binaries, QPOs are well reproduced by effective geometries nearly degenerate with a Schwarzschild-de Sitter (SdS) spacetime, hindering independent determinations of the mass, the angular momentum and other observables. We propose how to solve this physical limitation by incorporating the effects of orbiting matter spin, culminating in introducing the macroscopic precession model (MPM). We treat the disk inhomogeneities as spinning test bodies governed by the Mathisson-Papapetrou-Dixon (MPD) equations and obtain non-minimal spin curvature corrections to the azimuthal and the radial epicyclic frequencies. We perform Monte Carlo Markov chain (MCMC) fits, based on the Metropolis algorithm, and model eight NS X-ray binary sources. Our statistical analyzes show that the data select the internal structure of the accreting matter, without requiring corrections to Kerr and Schwarzschild spacetimes through the introduction of any correcting de Sitter phase. Physically, the MPM paradigm explains why an effective SdS-like structure could be statistically favored if spin is not employed, through non-minimal spin-curvature coupling, leaving unaltered the test particle hypothesis."
2607.22318v1,On a cross coupling of Rulkov neural maps,Stefano Disca,2026-07-24T13:58:13Z,drop,"We introduce a novel coupling of Rulkov neural maps, proposing a heuristic biological interpretation for the transition to non-small values of the perturbations acting on the slow variables. We analytically prove that the coupling preserves boundedness of motion and the existence of a snap-back repeller (leading to Devaney chaos by the Marotto theorem), if they are associated to the original system. For the coupling of two standard chaotic Rulkov maps, we present numerical simulations for the orbits of the system showing the arising of a global strange attractor, whose fractal structure is strongly suggested by the computation of a non-integer Kaplan-Yorke dimension. Furthermore, we perform standard numerical studies concerning time series, Lyapunov exponents spectra, bifurcation diagrams and basins of attraction. Finally, we briefly propose a generalization of the coupling to an arbitrary number of neurons."
2607.22313v1,Learning Bidirectional Causal Interactions with Heteroscedastic Neural Networks,Masahiro Tanaka,2026-07-24T13:53:58Z,drop,"Estimating contemporaneous bidirectional interactions from observational data is difficult because each outcome is endogenous to the other, while flexible regressions may capture only reduced-form dependence. This paper proposes SEM-DNN, a heteroscedastic neural simultaneous-equation estimator that learns reciprocal structural interactions without external instruments. Identification exploits conditional covariance diagonalization: when structural shocks have zero conditional means, are conditionally uncorrelated given predetermined covariates, and exhibit nonproportional conditional variances, only the true interaction coefficients diagonalize the conditional residual covariance across the feature space. The method jointly approximates nonlinear structural mean functions and feature-dependent variances using a diagonal Gaussian quasi-likelihood that incorporates the simultaneous-system Jacobian. We establish unique identification and positive-definite local curvature of the profiled population criterion and show that, under neural-profile compatibility conditions, the implemented neural criterion inherits this curvature despite nonunique network parameterizations. The coefficients admit a causal interpretation when the structural equations represent autonomous mechanisms that remain invariant under the relevant interventions. Monte Carlo experiments with nonlinear, high-dimensional nuisance functions and non-Gaussian shocks show that SEM-DNN recovers structural effects more reliably than parametric, kernel-based, and separate-equation neural alternatives as information increases, although at greater computational cost. An application to ready-to-eat cereal scanner data illustrates how the method can study contemporaneous price-sales feedback and assess identification strength, residual diagonalization, variance calibration, and optimization sensitivity."
2607.22293v1,RadSight: Towards Perceptually Reliable Multimodal Radiology Image Understanding,"Jianqin Liu, Weiwei Cao, Wanxing Chang, Ruifeng Yuan, Bowen Shi, Zhilin Zheng, Xianjie Zhang, Ling Zhang, Peng Wang, Jianpeng Zhang",2026-07-24T13:35:12Z,drop,"Medical multimodal large language models (MLLMs) are increasingly expected to perform complex image understanding tasks, yet their reliability is often compromised by frequent errors in visual interpretation. To systematically trace these failures, we traverse the hierarchy from high-level clinical tasks down to fundamental visual perception. We therefore introduce Perception-Bench, a large-scale benchmark comprising 1.13 million samples that assesses medical MLLMs across six dimensions: attribute judgment, spatial grounding, spatial understanding, disease prediction, anomaly detection, and report generation, spanning both 2D and 3D radiology images. Our analysis on Perception-Bench reveals that existing MLLMs lack the ability to capture even the most basic lesion attributes, such as location, size, and density. This inability to ground clinical outputs in primary visual evidence reveals that the models' diagnostic unreliability is rooted in a critical but overlooked bottleneck in low-level visual perception. Motivated by this, we propose RadSight, a perception-driven MLLM built upon a dual 2D/3D encoder architecture that preserves native imaging spatial structures. RadSight formulates medical image understanding as a four-stage progressive process: visual-language alignment, fine-grained visual perception, clinical diagnosis, and diagnostic interpretation. The model is trained on an 8.37 million perception-oriented corpus using progressive curriculum learning. On Perception-Bench, RadSight consistently outperforms existing MLLMs across all six evaluation dimensions, with particularly strong gains in spatial grounding and clinical diagnosis. It also achieves consistent improvements on public 2D and 3D medical benchmarks, further demonstrating that robust low-level visual perception is a critical foundation for reliable clinical understanding. Code and model will be publicly available."
2607.22286v1,An Insight on Evaluation Metrics Under the Imbalanced Case of Anomaly Detection,"Romain Hermary, Nesryne Mejri, Djamila Aouada",2026-07-24T13:25:06Z,drop,"Anomaly detection is inherently characterised by severe class imbalance, making the interpretation of evaluation metrics challenging. Although metrics such as AUROC, AUPR, F1-score, and MCC are widely used, their values convey different meanings depending on the anomaly ratio. In this work, we analyse the behaviour of those four common anomaly detection metrics under varying levels of imbalance. We focus on the study of metric landscapes, visualisations that relate metric values to true positive and true negative rates, providing an intuitive view of metric preferences and stability. Our analysis offers practical guidance for interpreting and comparing anomaly detection results across datasets with different imbalance ratios."
